DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EE,2012,605.69,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EE,2013,652.68,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EE,2014,725.90,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EE,2015,778.04,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EE,2016,826.92,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EE,2017,878.14,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EE,2018,967.04,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2009,1374.43,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2010,1332.62,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2011,1105.85,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2012,1006.18,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2013,859.35,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2014,739.07,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2015,782.76,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2016,839.83,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2017,810.34,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EL,2018,804.44,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2009,1576.97,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2010,1563.47,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2011,1533.19,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2012,1455.15,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2013,1409.08,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2014,1418.15,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2015,1510.09,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2016,1534.86,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2017,1573.57,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,ES,2018,1625.30,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2007,2014,2181.83,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2007,2015,2278.64,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2007,2016,2328.35,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2007,2017,2373.28,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2007,2018,2448.84,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2020,2014,2104.53,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2020,2015,2166.42,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2020,2016,2226.63,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2020,2017,2301.03,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU27_2020,2018,2377.38,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU28,2014,2196.56,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU28,2015,2297.48,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU28,2016,2315.07,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU28,2017,2360.69,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,EU28,2018,2436.27,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2009,2417.54,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2010,2472.07,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2011,2630.37,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2012,2783.03,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2013,2871.27,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2014,2890.79,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2015,2862.85,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2016,2829.55,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2017,2865.40,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FI,2018,2945.54,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,EUR_HAB,HF1,FR,2009,2592.66,
